# angle I
-5.327916687342930402e+01 1.211805555555555657e+03
-5.273942311682856854e+01 8.822903225806451246e+02
-5.220997914894126524e+01 1.021705882352941217e+03
-5.165056372363400072e+01 1.162628571428571377e+03
-5.110406012079675264e+01 1.321750000000000000e+03
-5.057735868851266048e+01 1.341272727272727252e+03
-5.003838856041011240e+01 1.009342857142857156e+03
-4.948702022160840386e+01 1.278727272727272748e+03
-4.894247919783141043e+01 1.080705882352941217e+03
-4.839584935184948478e+01 1.319424242424242493e+03
-4.785443783999938461e+01 1.364090909090909008e+03
-4.731277366646625637e+01 1.536969696969696997e+03
-4.676048362197581554e+01 1.413314285714285688e+03
-4.620054758532845085e+01 1.558030303030303003e+03
-4.569055655945299321e+01 1.641161290322580726e+03
-4.522922435526455587e+01 1.570500000000000000e+03
-4.464238079600759335e+01 1.705319148936170222e+03
-4.400760177106303672e+01 1.951099999999999909e+03
-4.351577512645597778e+01 1.935451612903225850e+03
-4.298044909431041560e+01 1.965382352941176578e+03
-4.241846390492843000e+01 1.824114285714285643e+03
-4.186400661888183805e+01 1.872878787878787989e+03
-4.132407376370392171e+01 2.043909090909090992e+03
-4.077559553579651919e+01 2.148147058823529278e+03
-4.023995163868140423e+01 2.006781250000000000e+03
-3.970338010747937574e+01 2.151294117647059011e+03
-3.915564652087752506e+01 2.165771428571428714e+03
-3.860607726443897292e+01 2.253575757575757507e+03
-3.806206197887185994e+01 2.095058823529411711e+03
-3.751676882524034085e+01 2.375030303030303003e+03
-3.697382123297541057e+01 2.141029411764705856e+03
-3.643144506381337067e+01 2.224545454545454504e+03
-3.588419168620206534e+01 2.421515151515151501e+03
-3.534586360868035371e+01 2.184212121212121019e+03
-3.480782757726711907e+01 2.135441176470588289e+03
-3.425435621748933102e+01 2.164199999999999818e+03
-3.370099554578889212e+01 2.217656250000000000e+03
-3.317668980829620295e+01 2.316090909090909008e+03
-3.263456058975624074e+01 1.999828571428571422e+03
-3.207927709960420515e+01 2.260787878787878981e+03
-3.154514759998535922e+01 2.186696969696969518e+03
-3.099814767733019494e+01 2.194878787878787989e+03
-3.045525359158737899e+01 2.223558823529411711e+03
-2.990609708678459100e+01 2.122058823529411711e+03
-2.936789235731668413e+01 2.251187500000000000e+03
-2.884201961355767097e+01 2.244147058823529278e+03
-2.827437804470975280e+01 2.171771428571428714e+03
-2.772769150532655758e+01 2.217303030303030482e+03
-2.716877873354407669e+01 2.179472222222222172e+03
-2.663187338678143590e+01 2.232666666666666515e+03
-2.609902052911640524e+01 2.219114285714285870e+03
-2.555387463999028341e+01 2.116666666666666515e+03
-2.500417264140019924e+01 2.113647058823529278e+03
-2.446993933100076291e+01 2.085666666666666515e+03
-2.391910275233294669e+01 2.113941176470588289e+03
-2.338939512307219815e+01 2.077875000000000000e+03
-2.284659898893495722e+01 2.028914285714285825e+03
-2.229714348907704746e+01 2.136303030303030482e+03
-2.175965687857035746e+01 2.139545454545454504e+03
-2.121178926218231453e+01 2.051828571428571649e+03
-2.066125120356011280e+01 1.958636363636363740e+03
-2.012148400873378051e+01 2.008352941176470495e+03
-1.957893966994131674e+01 1.969823529411764639e+03
-1.902435754918885635e+01 2.035878787878787989e+03
-1.846417902006172795e+01 1.947405405405405418e+03
-1.792601185255950114e+01 2.040379310344827672e+03
-1.740979175510102550e+01 1.981885714285714357e+03
-1.685028231836785650e+01 2.011705882352941217e+03
-1.632111134097148764e+01 2.013387096774193651e+03
-1.578084108320469703e+01 2.125914285714285597e+03
-1.522410798507533691e+01 1.994147058823529505e+03
-1.468718105718266287e+01 2.006696969696969745e+03
-1.413807534775683727e+01 1.965470588235294144e+03
-1.358988758125559393e+01 1.915558823529411711e+03
-1.304629308343732497e+01 1.876705882352941217e+03
-1.250566532930695729e+01 2.052090909090909008e+03
-1.196706049876743805e+01 1.916000000000000000e+03
-1.143524026340577393e+01 1.984500000000000000e+03
-1.089420695679288542e+01 2.002828571428571422e+03
-1.033567729047707040e+01 1.961294117647058783e+03
-9.799688680559240694e+00 1.958781250000000000e+03
-9.247178806846143573e+00 1.974277777777777828e+03
-8.696789184041250564e+00 1.989333333333333258e+03
-8.161210205884625424e+00 2.076030303030303003e+03
-7.623384180208735650e+00 1.903484848484848499e+03
-7.075214961279154835e+00 1.891882352941176578e+03
-6.519259049541179074e+00 1.891500000000000000e+03
-5.962370647023417014e+00 2.022705882352941217e+03
-5.420955199877650621e+00 1.852718750000000000e+03
-4.906093081166353898e+00 1.907030303030303003e+03
-4.364320979246230969e+00 1.922200000000000045e+03
-3.812260912815442992e+00 1.901529411764705856e+03
-3.259635131533121566e+00 1.934685714285714312e+03
-2.693964746452112369e+00 1.870027777777777828e+03
-2.141340999214094154e+00 1.828757575757575751e+03
-1.638824926030580498e+00 1.889566666666666606e+03
-1.173895907912080094e+00 1.886400000000000091e+03
1.028421719781078991e+00 1.889324324324324380e+03
1.621669235641959306e+00 1.854447368421052715e+03
2.204382158755942456e+00 1.890257142857142753e+03
2.745871636537721816e+00 1.852454545454545496e+03
3.271417124817111777e+00 1.892393939393939490e+03
3.790545477896863691e+00 1.869718750000000000e+03
4.328582737746809350e+00 1.937685714285714312e+03
4.886179063243054621e+00 1.925914285714285825e+03
5.446807674804088784e+00 1.880771428571428487e+03
5.989616962734966243e+00 1.942290322580645125e+03
6.520377147997778344e+00 1.878117647058823422e+03
7.068550621384266819e+00 1.952363636363636260e+03
7.608305166082725890e+00 1.944848484848484759e+03
8.154905745624915880e+00 2.010764705882352928e+03
8.714211616312960373e+00 1.954428571428571331e+03
9.263032070373403926e+00 1.933617647058823422e+03
9.801047830014915974e+00 1.943812500000000000e+03
1.033648832749978652e+01 1.975294117647058783e+03
1.088009685822358819e+01 1.983212121212121247e+03
1.141207212804947346e+01 1.969272727272727252e+03
1.195305969360422971e+01 1.953352941176470495e+03
1.250060711950113479e+01 1.986264705882352928e+03
1.305470457102790327e+01 1.981685714285714312e+03
1.360094475440375028e+01 2.040060606060606005e+03
1.413373476386368743e+01 2.283151515151515014e+03
1.467761767750302937e+01 2.065181818181818016e+03
1.522734952631953576e+01 2.030500000000000000e+03
1.575890202333299683e+01 1.992545454545454504e+03
1.630544815339339237e+01 1.957794117647058783e+03
1.685724420112817512e+01 2.040352941176470495e+03
1.741736807611572502e+01 2.023571428571428669e+03
1.794584506367683474e+01 1.927799999999999955e+03
1.847688917378045304e+01 1.925805555555555657e+03
1.902883689893567265e+01 1.955093750000000000e+03
1.957758270316379168e+01 1.991857142857142890e+03
2.012258195481897971e+01 2.143151515151515014e+03
2.065916578482554655e+01 2.148151515151515014e+03
2.120849033538414119e+01 2.047647058823529505e+03
2.175068364510407193e+01 2.093117647058823422e+03
2.228611495631922068e+01 2.170781250000000000e+03
2.282148735352692270e+01 1.985735294117647072e+03
2.337010012270421910e+01 2.040441176470588289e+03
2.391146231962124702e+01 2.108939393939393995e+03
2.446715529469205208e+01 2.053028571428571468e+03
2.502577751019617125e+01 2.099971428571428532e+03
2.557234987333704623e+01 2.173151515151515014e+03
2.614517445646423610e+01 2.113342105263157919e+03
2.669921610846693127e+01 2.157233333333333121e+03
2.721002370780709256e+01 2.101151515151515014e+03
2.774568336479853770e+01 2.187666666666666515e+03
2.828363113602471657e+01 2.208424242424242493e+03
2.882757659774321368e+01 2.157764705882353155e+03
2.936925413495999138e+01 2.181181818181818016e+03
2.991489341414674641e+01 2.151705882352940989e+03
3.045523793140227653e+01 2.158060606060606005e+03
3.099594773367232392e+01 2.108294117647059011e+03
3.154184249294003450e+01 2.213363636363636488e+03
3.208565052015018182e+01 2.353088235294117567e+03
3.263566063204275025e+01 2.049470588235294144e+03
3.318204517800036513e+01 2.294411764705882433e+03
